Lamis ID,Age at S1K,Age at BMT,Days postBMT,total_T2,fd_T2,Nfd_T2,frac_Ki67+_T2_donor,frac_Ki67+_T2_host
848686,59,41,18,1576298.8359788358,0.7251156415967106,0.906374344782601,0.982279976373302,0.8756622000623246
848689,62,41,21,713293.9732888147,0.0205291311262107,0.4878876319213532,0.9929577464788732,0.9425830258302584
848688,69,41,28,2805270.562180579,0.4655560558307068,0.8203926953985755,0.9707715452396304,0.893850042122999
848701,76,41,35,1086125.4355400696,0.4323523184416685,0.7962921899793566,0.9828599412340842,0.9494591570309586
848687,88,41,14,727837.65,0.1371631434565112,0.5219883339818653,0.96,0.794277164765289
832634,88,74,14,898832.3841059603,0.1349087988987036,0.5201664750925861,0.971938775510204,0.8002917384962206
832635,92,74,18,2521597.0909090918,0.0036599099099099,0.6564649095660544,1.0,0.968578694546482
832636,95,74,21,1580845.2988691437,0.7590423699621082,0.9026688684786012,0.9496255956432949,0.8313080771979985
832637,102,74,28,2241693.628620102,0.7788637402834934,0.9045015553653288,0.9731415572026124,0.8281209614887568
832653,109,74,35,1610491.021069692,0.9038060973300512,0.9670220904759956,0.981981981981982,0.8336614173228346
882098,119,41,54,510599.5714285715,0.5555235903337169,0.9132844312678444,0.9808389435525634,0.9359223300970874
848700,123,41,82,2947462.157809984,0.6485461441213654,0.8963449960026411,0.6888588993852152,0.5571389042612065
848702,124,42,82,2260771.012269939,0.1261555876988868,0.6461854651888065,0.5837487537387837,0.4374235336451961
860235,141,51,90,703864.1081081082,0.9617308654327164,0.9929454785121876,0.9685305591677502,0.8496732026143791
848702,158,65,117,528214.5928338763,0.261413594859655,0.912042986510352,0.9404915912031048,0.9358974358974358
882113,212,58,154,402933.0849478391,0.9728769777203744,0.9950938532106776,0.8396946564885496,0.6428571428571429
882101,219,65,154,1351498.5,0.8849681020733652,0.9728249672136308,0.9552827213336336,0.92894280762565
860234,291,101,190,1051014.56166419,0.9308568752926488,0.9970290055446772,0.908283031522468,0.8600451467268623
832605,306,89,217,1323793.006993007,0.7388178913738019,0.9421917826275118,0.9232432432432433,0.8970438328236493
832608,306,89,217,942024.960753532,0.5988747310938276,0.8905497768740108,0.8582481348438795,0.8510726072607261
408781,731,87,644,892777.6687116565,0.8692927484333035,0.9973292566347512,0.8916065911431514,0.8527397260273972
408783,731,87,644,110114.6365105008,0.9006211180124224,1.159083391524863,0.5560344827586207,0.4921875
